Time,Cheating
0,0
40,0
80,0
120,0
160,0
200,0
240,0
280,0
320,0
360,0
400,0
440,0
480,0
520,0
560,0
600,0
640,0
680,0
720,0
760,0
800,0
840,0
880,0
920,0
960,0
1000,0
1040,0
1080,0
1120,0
1160,0
1200,0
1240,0
1280,0
1320,0
1360,0
1400,0
1440,0
1480,0
1520,0
1560,0
1600,0
1640,0
1680,0
1720,0
1760,0
1800,0
1840,0
1880,0
1920,0
1960,0
2000,0
2040,0
2080,0
2120,0
2160,0
2200,0
2240,0
2280,0
2320,0
2360,0
2400,0
2440,0
2480,0
2520,0
2560,0
2600,0
2640,0
2680,0
2720,0
2760,0
2800,0
2840,0
2880,0
2920,0
2960,0
3000,0
3040,0
3080,0
3120,0
3160,0
3200,0
3240,0
3280,0
3320,0
3360,0
3400,0
3440,0
3480,0
3520,0
3560,0
3600,0
3640,0
3680,0
3720,0
3760,0
3800,0
3840,0
3880,0
3920,0
3960,0
4000,0
4040,0
4080,0
4120,0
4160,0
4200,0
4240,0
4280,0
4320,0
4360,0
4400,0
4440,0
4480,0
4520,0
4560,0
4600,0
4640,0
4680,0
4720,0
4760,0
4800,0
4840,0
4880,0
4920,0
4960,0
5000,0
5040,0
5080,0
5120,0
5160,0
5200,0
5240,0
5280,0
5320,0
5360,0
5400,0
5440,0
5480,0
5520,0
5560,0
5600,0
5640,0
5680,0
5720,0
5760,0
5800,0
5840,0
5880,0
5920,0
5960,0
6000,0
6040,0
6080,0
6120,0
6160,0
6200,0
6240,0
6280,0
6320,0
6360,0
6400,0
6440,0
6480,0
6520,0
6560,0
6600,0
6640,0
6680,0
6720,0
6760,0
6800,0
6840,0
6880,0
6920,0
6960,0
7000,0
7040,0
7080,0
7120,0
7160,0
7200,0
7240,0
7280,0
7320,0
7360,0
7400,0
7440,0
7480,0
7520,0
7560,0
7600,0
7640,0
7680,0
7720,0
7760,0
7800,0
7840,0
7880,0
7920,0
7960,0
8000,0
8040,0
8080,0
8120,0
8160,0
8200,0
8240,0
8280,0
8320,0
8360,0
8400,0
8440,0
8480,0
8520,0
8560,0
8600,0
8640,0
8680,0
8720,0
8760,0
8800,0
8840,0
8880,0
8920,0
8960,0
9000,0
9040,0
9080,0
9120,0
9160,0
9200,0
9240,0
9280,0
9320,0
9360,0
9400,0
9440,0
9480,0
9520,0
9560,0
9600,0
9640,0
9680,0
9720,0
9760,0
9800,0
9840,0
9880,0
9920,0
9960,0
10000,0
10040,0
10080,0
10120,0
10160,0
10200,0
10240,0
10280,0
10320,0
10360,0
10400,0
10440,0
10480,0
10520,0
10560,0
10600,0
10640,0
10680,0
10720,0
10760,0
10800,0
10840,0
10880,0
10920,0
10960,0
11000,1
11040,1
11080,1
11120,1
11160,1
11200,1
11240,1
11280,1
11320,1
11360,1
11400,1
11440,1
11480,1
11520,1
11560,1
11600,1
11640,1
11680,1
11720,1
11760,1
11800,1
11840,1
11880,1
11920,1
11960,1
12000,1
12040,1
12080,1
12120,1
12160,1
12200,1
12240,1
12280,1
12320,1
12360,1
12400,1
12440,1
12480,1
12520,1
12560,1
12600,1
12640,1
12680,1
12720,1
12760,1
12800,1
12840,1
12880,1
12920,1
12960,1
13000,1
13040,1
13080,1
13120,1
13160,1
13200,1
13240,1
13280,1
13320,1
13360,1
13400,1
13440,1
13480,1
13520,1
13560,1
13600,1
13640,1
13680,1
13720,1
13760,1
13800,1
13840,1
13880,1
13920,1
13960,1
14000,1
14040,1
14080,1
14120,1
14160,1
14200,1
14240,1
14280,1
14320,1
14360,1
14400,1
14440,1
14480,1
14520,1
14560,1
14600,1
14640,1
14680,1
14720,1
14760,1
14800,1
14840,1
14880,1
14920,1
14960,1
15000,1
15040,1
15080,0
15120,0
15160,0
15200,0
15240,0
15280,0
15320,0
15360,0
15400,0
15440,0
15480,0
15520,0
15560,0
15600,0
15640,0
15680,0
15720,0
15760,0
15800,0
15840,0
15880,0
15920,0
15960,0
16000,0
16040,0
16080,0
16120,0
16160,0
16200,0
16240,0
16280,0
16320,0
16360,0
16400,0
16440,0
16480,0
16520,0
16560,0
16600,0
16640,0
16680,0
16720,0
16760,0
16800,0
16840,0
16880,0
16920,0
16960,0
17000,0
17040,0
17080,0
17120,0
17160,0
17200,0
17240,0
17280,0
17320,0
17360,0
17400,0
17440,0
17480,0
17520,0
17560,0
17600,0
17640,0
17680,0
17720,0
17760,0
17800,0
17840,0
17880,0
17920,0
17960,0
18000,0
18040,0
18080,0
18120,0
18160,0
18200,0
18240,0
18280,0
18320,0
18360,0
18400,0
18440,0
18480,0
18520,0
18560,0
18600,0
18640,0
18680,0
18720,0
18760,0
18800,0
18840,0
18880,0
18920,0
18960,0
19000,0
19040,0
19080,0
19120,0
19160,0
19200,0
19240,0
19280,0
19320,0
19360,0
19400,0
19440,0
19480,0
19520,0
19560,0
19600,0
19640,0
19680,0
19720,0
19760,0
19800,0
19840,0
19880,0
19920,0
19960,0
20000,0
20040,0
20080,0
20120,0
20160,0
20200,0
20240,0
20280,0
20320,0
20360,0
20400,0
20440,0
20480,0
20520,0
20560,0
20600,0
20640,0
20680,0
20720,0
20760,0
20800,0
20840,0
20880,0
20920,0
20960,0
21000,0
21040,0
21080,0
21120,0
21160,0
21200,0
21240,0
21280,0
21320,0
21360,0
21400,0
21440,0
21480,0
21520,0
21560,0
21600,0
21640,0
21680,0
21720,0
21760,0
21800,0
21840,0
21880,0
21920,0
21960,0
22000,0
22040,0
22080,0
22120,0
22160,0
22200,0
22240,0
22280,0
22320,0
22360,0
22400,0
22440,0
22480,0
22520,0
22560,0
22600,0
22640,0
22680,0
22720,0
22760,0
22800,0
22840,0
22880,0
22920,0
22960,0
23000,0
23040,0
23080,0
23120,0
23160,0
23200,0
23240,0
23280,0
23320,0
23360,0
23400,0
23440,0
23480,0
23520,0
23560,0
23600,0
23640,0
23680,0
23720,0
23760,0
23800,0
23840,0
23880,0
23920,0
23960,0
24000,0
24040,0
24080,0
24120,0
24160,0
24200,0
24240,0
24280,0
24320,0
24360,0
24400,0
24440,0
24480,0
24520,0
24560,0
24600,0
24640,0
24680,0
24720,0
24760,0
24800,0
24840,0
24880,0
24920,0
24960,0
25000,0
25040,0
25080,0
25120,0
25160,0
25200,0
25240,0
25280,0
25320,0
25360,0
25400,0
25440,0
25480,0
25520,0
25560,0
25600,0
25640,0
25680,0
25720,0
25760,0
25800,0
25840,0
25880,0
25920,0
25960,0
26000,0
26040,0
26080,0
26120,0
26160,0
26200,0
26240,0
26280,0
26320,0
26360,0
26400,0
26440,0
26480,0
26520,0
26560,0
26600,0
26640,0
26680,0
26720,0
26760,0
26800,0
26840,0
26880,0
26920,0
26960,0
27000,0
27040,0
27080,0
27120,0
27160,0
27200,0
27240,0
27280,0
27320,0
27360,0
27400,0
27440,0
27480,0
27520,0
27560,0
27600,0
27640,0
27680,0
27720,0
27760,0
27800,0
27840,0
27880,0
27920,0
27960,0
28000,0
28040,0
28080,0
28120,0
28160,0
28200,0
28240,0
28280,0
28320,0
28360,0
28400,0
28440,0
28480,0
28520,0
28560,0
28600,0
28640,0
28680,0
28720,0
28760,0
28800,0
28840,0
28880,0
28920,0
28960,0
29000,0
29040,0
29080,0
29120,0
29160,0
29200,0
29240,0
29280,0
29320,0
29360,0
29400,0
29440,0
29480,0
29520,0
29560,0
29600,0
29640,0
29680,0
29720,0
29760,0
29800,0
29840,0
29880,0
29920,0
29960,0
30000,0
30040,0
30080,0
30120,0
30160,0
30200,0
30240,0
30280,0
30320,0
30360,0
30400,0
30440,0
30480,0
30520,0
30560,0
30600,0
30640,0
30680,0
30720,0
30760,0
30800,0
30840,0
30880,0
30920,0
30960,0
31000,0
31040,0
31080,0
31120,0
31160,0
31200,0
31240,0
31280,0
31320,0
31360,0
31400,0
31440,0
31480,0
31520,0
31560,0
31600,0
31640,0
31680,0
31720,0
31760,0
31800,0
31840,0
31880,0
31920,0
31960,0
32000,0
32040,0
32080,0
32120,0
32160,0
32200,0
32240,0
32280,0
32320,0
32360,0
32400,0
32440,0
32480,0
32520,0
32560,0
32600,0
32640,0
32680,0
32720,0
32760,0
32800,0
32840,0
32880,0
32920,0
32960,0
33000,0
33040,0
33080,0
33120,0
33160,0
33200,0
33240,0
33280,0
33320,0
33360,0
33400,0
33440,0
33480,0
33520,0
33560,0
33600,0
33640,0
33680,0
33720,0
33760,0
33800,0
33840,0
33880,0
33920,0
33960,0
34000,0
34040,0
34080,0
34120,0
34160,0
34200,0
34240,0
34280,0
34320,0
34360,0
34400,0
34440,0
34480,0
34520,0
34560,0
34600,0
34640,0
34680,0
34720,0
34760,0
34800,0
34840,0
34880,0
34920,0
34960,0
35000,0
35040,0
35080,0
35120,0
35160,0
35200,0
35240,0
35280,0
35320,0
35360,0
35400,0
35440,0
35480,0
35520,0
35560,0
35600,0
35640,0
35680,0
35720,0
35760,0
35800,0
35840,0
35880,0
35920,0
35960,0
36000,0
36040,0
36080,0
36120,0
36160,0
36200,0
36240,0
36280,0
36320,0
36360,0
36400,0
36440,0
36480,0
36520,0
36560,0
36600,0
36640,0
36680,0
36720,0
36760,0
36800,0
36840,0
36880,0
36920,0
36960,0
37000,0
37040,0
37080,0
37120,0
37160,0
37200,0
37240,0
37280,0
37320,0
37360,0
37400,0
37440,0
37480,0
37520,0
37560,0
37600,0
37640,0
37680,0
37720,0
37760,0
37800,0
37840,0
37880,0
37920,0
37960,0
38000,0
38040,0
38080,0
38120,0
38160,0
38200,0
38240,0
38280,0
38320,0
38360,0
38400,0
38440,0
38480,0
38520,0
38560,0
38600,0
38640,0
38680,0
38720,0
38760,0
38800,0
38840,0
38880,0
38920,0
38960,0
39000,0
39040,0
39080,0
39120,0
39160,0
39200,0
39240,0
39280,0
39320,0
39360,0
39400,0
39440,0
39480,0
39520,0
39560,0
39600,0
39640,0
39680,0
39720,0
39760,0
39800,0
39840,0
39880,0
39920,0
39960,0
40000,0
40040,0
40080,0
40120,0
40160,0
40200,0
40240,0
40280,0
40320,0
40360,0
40400,0
40440,0
40480,0
40520,0
40560,0
40600,0
40640,0
40680,0
40720,0
40760,0
40800,0
40840,0
40880,0
40920,0
40960,0
41000,0
41040,0
41080,0
41120,0
41160,0
41200,0
41240,0
41280,0
41320,0
41360,0
41400,0
41440,0
41480,0
41520,0
41560,0
41600,0
41640,0
41680,0
41720,0
41760,0
41800,0
41840,0
41880,0
41920,0
41960,0
42000,0
42040,0
42080,0
42120,0
42160,0
42200,0
42240,0
42280,0
42320,0
42360,0
42400,0
42440,0
42480,0
42520,0
42560,0
42600,0
42640,0
42680,0
42720,0
42760,0
42800,0
42840,0
42880,0
42920,0
42960,0
43000,0
43040,0
43080,0
43120,0
43160,0
43200,0
43240,0
43280,0
43320,0
43360,0
43400,0
43440,0
43480,0
43520,0
43560,0
43600,0
43640,0
43680,0
43720,0
43760,0
43800,0
43840,0
43880,0
43920,0
43960,0
44000,0
44040,0
44080,0
44120,0
44160,0
44200,0
44240,0
44280,0
44320,0
44360,0
44400,0
44440,0
44480,0
44520,0
44560,0
44600,0
44640,0
44680,0
44720,0
44760,0
44800,0
44840,0
44880,0
44920,0
44960,0
45000,0
45040,0
45080,0
45120,0
45160,0
45200,0
45240,0
45280,0
45320,0
45360,0
45400,0
45440,0
45480,0
45520,0
45560,0
45600,0
45640,0
45680,0
45720,0
45760,0
45800,0
45840,0
45880,0
45920,0
45960,0
46000,0
46040,0
46080,0
46120,0
46160,0
46200,0
46240,0
46280,0
46320,0
46360,0
46400,0
46440,0
46480,0
46520,0
46560,0
46600,0
46640,0
46680,0
46720,0
46760,0
46800,0
46840,0
46880,0
46920,0
46960,0
47000,0
47040,0
47080,0
47120,0
47160,0
47200,0
47240,0
47280,0
47320,0
47360,0
47400,0
47440,0
47480,0
47520,0
47560,0
47600,0
47640,0
47680,0
47720,0
47760,0
47800,0
47840,0
47880,0
47920,0
47960,0
48000,0
48040,0
48080,0
48120,0
48160,0
48200,0
48240,0
48280,0
48320,0
48360,0
48400,0
48440,0
48480,0
48520,0
48560,0
48600,0
48640,0
48680,0
48720,0
48760,0
48800,0
48840,0
48880,0
48920,0
48960,0
49000,0
49040,0
49080,0
49120,0
49160,0
49200,0
49240,0
49280,0
49320,0
49360,0
49400,0
49440,0
49480,0
49520,0
49560,0
49600,0
49640,0
49680,0
49720,0
49760,0
49800,0
49840,0
49880,0
49920,0
49960,0
50000,0
50040,0
50080,0
50120,0
50160,0
50200,0
50240,0
50280,0
50320,0
50360,0
50400,0
50440,0
50480,0
50520,0
50560,0
50600,0
50640,0
50680,0
50720,0
50760,0
50800,0
50840,0
50880,0
50920,0
50960,0
51000,0
51040,0
51080,0
51120,0
51160,0
51200,0
51240,0
51280,0
51320,0
51360,0
51400,0
51440,0
51480,0
51520,0
51560,0
51600,0
51640,0
51680,0
51720,0
51760,0
51800,0
51840,0
51880,0
51920,0
51960,0
52000,0
52040,0
52080,0
52120,0
52160,0
52200,0
52240,0
52280,0
52320,0
52360,0
52400,0
52440,0
52480,0
52520,0
52560,0
52600,0
52640,0
52680,0
52720,0
52760,0
52800,0
52840,0
52880,0
52920,0
52960,0
53000,0
53040,0
53080,0
53120,0
53160,0
53200,0
53240,0
53280,0
53320,0
53360,0
53400,0
53440,0
53480,0
53520,0
53560,0
53600,0
53640,0
53680,0
53720,0
53760,0
53800,0
53840,0
53880,0
53920,0
53960,0
54000,0
54040,0
54080,0
54120,0
54160,0
54200,0
54240,0
54280,0
54320,0
54360,0
54400,0
54440,0
54480,0
54520,0
54560,0
54600,0
54640,0
54680,0
54720,0
54760,0
54800,0
54840,0
54880,0
54920,0
54960,0
55000,0
55040,0
55080,0
55120,0
55160,0
55200,0
55240,0
55280,0
55320,0
55360,0
55400,0
55440,0
55480,0
55520,0
55560,0
55600,0
55640,0
55680,0
55720,0
55760,0
55800,0
55840,0
55880,0
55920,0
55960,0
56000,0
56040,0
56080,0
56120,0
56160,0
56200,0
56240,0
56280,0
56320,0
56360,0
56400,0
56440,0
56480,0
56520,0
56560,0
56600,0
56640,0
56680,0
56720,0
56760,0
56800,0
56840,0
56880,0
56920,0
56960,0
57000,0
57040,0
57080,0
57120,0
57160,0
57200,0
57240,0
57280,0
57320,0
57360,0
57400,0
57440,0
57480,0
57520,0
57560,0
57600,0
57640,0
57680,0
57720,0
57760,0
57800,0
57840,0
57880,0
57920,0
57960,0
58000,0
58040,0
58080,0
58120,0
58160,0
58200,0
58240,0
58280,0
58320,0
58360,0
58400,0
58440,0
58480,0
58520,0
58560,0
58600,0
58640,0
58680,0
58720,0
58760,0
58800,0
58840,0
58880,0
58920,0
58960,0
59000,0
59040,0
59080,0
59120,0
59160,0
59200,0
59240,0
59280,0
59320,0
59360,0
59400,0
59440,0
59480,0
59520,0
59560,0
59600,0
59640,0
59680,0
59720,0
59760,0
59800,0
59840,0
59880,0
59920,0
59960,0
60000,0
60040,0
60080,0
60120,0
60160,0
60200,0
60240,0
