cheating,timestamp,
0,0,0
0,0,40
0,0,80
0,0,120
0,0,160
0,0,200
0,0,240
0,0,280
0,0,320
0,0,360
0,0,400
0,0,440
0,0,480
0,0,520
0,0,560
0,0,600
0,0,640
0,0,680
0,0,720
0,0,760
0,0,800
0,0,840
0,0,880
0,0,920
0,0,960
0,0,1000
0,0,1040
0,0,1080
0,0,1120
0,0,1160
0,0,1200
0,0,1240
0,0,1280
0,0,1320
0,0,1360
0,0,1400
0,0,1440
0,0,1480
0,0,1520
0,0,1560
0,0,1600
0,0,1640
0,0,1680
0,0,1720
0,0,1760
0,0,1800
0,0,1840
0,0,1880
0,0,1920
0,0,1960
0,0,2000
0,0,2040
0,0,2080
0,0,2120
0,0,2160
0,0,2200
0,0,2240
0,0,2280
0,0,2320
0,0,2360
0,0,2400
0,0,2440
0,0,2480
0,0,2520
0,0,2560
0,0,2600
0,0,2640
0,0,2680
0,0,2720
0,0,2760
0,0,2800
0,0,2840
0,0,2880
0,0,2920
0,0,2960
0,0,3000
0,0,3040
0,0,3080
0,0,3120
0,0,3160
0,0,3200
0,0,3240
0,0,3280
0,0,3320
0,0,3360
0,0,3400
0,0,3440
0,0,3480
0,0,3520
0,0,3560
0,0,3600
0,0,3640
0,0,3680
0,0,3720
0,0,3760
0,0,3800
0,0,3840
0,0,3880
0,0,3920
0,0,3960
0,0,4000
0,0,4040
0,0,4080
0,0,4120
0,0,4160
0,0,4200
0,0,4240
0,0,4280
0,0,4320
0,0,4360
0,0,4400
0,0,4440
0,0,4480
0,0,4520
0,0,4560
0,0,4600
0,0,4640
0,0,4680
0,0,4720
0,0,4760
0,0,4800
0,0,4840
0,0,4880
0,0,4920
0,0,4960
0,0,5000
0,0,5040
0,0,5080
0,0,5120
0,0,5160
0,0,5200
0,0,5240
0,0,5280
0,0,5320
0,0,5360
0,0,5400
0,0,5440
0,0,5480
0,0,5520
0,0,5560
0,0,5600
0,0,5640
0,0,5680
0,0,5720
0,0,5760
0,0,5800
0,0,5840
0,0,5880
0,0,5920
0,0,5960
0,0,6000
0,0,6040
0,0,6080
0,0,6120
0,0,6160
0,0,6200
0,0,6240
0,0,6280
0,0,6320
0,0,6360
0,0,6400
0,0,6440
0,0,6480
0,0,6520
0,0,6560
0,0,6600
0,0,6640
0,0,6680
0,0,6720
0,0,6760
0,0,6800
0,0,6840
0,0,6880
0,0,6920
0,0,6960
0,0,7000
0,0,7040
0,0,7080
0,0,7120
0,0,7160
0,0,7200
0,0,7240
0,0,7280
0,0,7320
0,0,7360
0,0,7400
0,0,7440
0,0,7480
0,0,7520
0,0,7560
0,0,7600
0,0,7640
0,0,7680
0,0,7720
0,0,7760
0,0,7800
0,0,7840
0,0,7880
0,0,7920
0,0,7960
0,0,8000
0,0,8040
0,0,8080
0,0,8120
0,0,8160
0,0,8200
0,0,8240
0,0,8280
0,0,8320
0,0,8360
0,0,8400
0,0,8440
0,0,8480
0,0,8520
0,0,8560
0,0,8600
0,0,8640
0,0,8680
0,0,8720
0,0,8760
0,0,8800
0,0,8840
0,0,8880
0,0,8920
0,0,8960
0,0,9000
0,0,9040
0,0,9080
0,0,9120
0,0,9160
0,0,9200
0,0,9240
0,0,9280
0,0,9320
0,0,9360
0,0,9400
0,0,9440
0,0,9480
0,0,9520
0,0,9560
0,0,9600
0,0,9640
0,0,9680
0,0,9720
0,0,9760
0,0,9800
0,0,9840
0,0,9880
0,0,9920
0,0,9960
0,0,10000
0,0,10040
0,0,10080
0,0,10120
0,0,10160
0,0,10200
0,0,10240
0,0,10280
0,0,10320
0,0,10360
0,0,10400
0,0,10440
0,0,10480
0,0,10520
0,0,10560
0,0,10600
0,0,10640
0,0,10680
0,0,10720
0,0,10760
0,0,10800
0,0,10840
0,0,10880
0,0,10920
0,0,10960
0,0,11000
0,0,11040
0,0,11080
0,0,11120
0,0,11160
0,0,11200
0,0,11240
0,0,11280
0,0,11320
0,0,11360
0,0,11400
0,0,11440
0,0,11480
0,0,11520
0,0,11560
0,0,11600
0,0,11640
0,0,11680
0,0,11720
0,0,11760
0,0,11800
0,0,11840
0,0,11880
0,0,11920
0,0,11960
0,0,12000
0,0,12040
0,0,12080
0,0,12120
0,0,12160
0,0,12200
0,0,12240
0,0,12280
0,0,12320
0,0,12360
0,0,12400
0,0,12440
0,0,12480
0,0,12520
0,0,12560
0,0,12600
0,0,12640
0,0,12680
0,0,12720
0,0,12760
0,0,12800
0,0,12840
0,0,12880
0,0,12920
0,0,12960
0,0,13000
0,0,13040
0,0,13080
0,0,13120
0,0,13160
0,0,13200
0,0,13240
0,0,13280
0,0,13320
0,0,13360
0,0,13400
0,0,13440
0,0,13480
0,0,13520
0,0,13560
0,0,13600
0,0,13640
0,0,13680
0,0,13720
0,0,13760
0,0,13800
0,0,13840
0,0,13880
0,0,13920
0,0,13960
0,0,14000
0,0,14040
0,0,14080
0,0,14120
0,0,14160
0,0,14200
0,0,14240
0,0,14280
0,0,14320
0,0,14360
0,0,14400
0,0,14440
0,0,14480
0,0,14520
0,0,14560
0,0,14600
0,0,14640
0,0,14680
0,0,14720
0,0,14760
0,0,14800
0,0,14840
0,0,14880
0,0,14920
0,0,14960
15000,1,15000
15040,1,15040
15080,1,15080
15120,1,15120
15160,1,15160
15200,1,15200
15240,1,15240
15280,1,15280
15320,1,15320
15360,1,15360
15400,1,15400
15440,1,15440
15480,1,15480
15520,1,15520
15560,1,15560
15600,1,15600
15640,1,15640
15680,1,15680
15720,1,15720
15760,1,15760
15800,1,15800
15840,1,15840
15880,1,15880
15920,1,15920
15960,1,15960
16000,1,16000
16040,1,16040
16080,1,16080
16120,1,16120
16160,1,16160
16200,1,16200
16240,1,16240
16280,1,16280
16320,1,16320
16360,1,16360
16400,1,16400
16440,1,16440
16480,1,16480
16520,1,16520
16560,1,16560
16600,1,16600
16640,1,16640
16680,1,16680
16720,1,16720
16760,1,16760
16800,1,16800
16840,1,16840
16880,1,16880
16920,1,16920
16960,1,16960
17000,1,17000
17040,1,17040
17080,1,17080
17120,1,17120
17160,1,17160
17200,1,17200
17240,1,17240
17280,1,17280
17320,1,17320
17360,1,17360
17400,1,17400
17440,1,17440
17480,1,17480
17520,1,17520
17560,1,17560
17600,1,17600
17640,1,17640
17680,1,17680
17720,1,17720
17760,1,17760
17800,1,17800
17840,1,17840
17880,1,17880
17920,1,17920
17960,1,17960
18000,1,18000
18040,1,18040
0,0,18080
0,0,18120
0,0,18160
0,0,18200
0,0,18240
0,0,18280
0,0,18320
0,0,18360
0,0,18400
0,0,18440
0,0,18480
0,0,18520
0,0,18560
0,0,18600
0,0,18640
0,0,18680
0,0,18720
0,0,18760
0,0,18800
0,0,18840
0,0,18880
0,0,18920
0,0,18960
0,0,19000
0,0,19040
0,0,19080
0,0,19120
0,0,19160
0,0,19200
0,0,19240
0,0,19280
0,0,19320
0,0,19360
0,0,19400
0,0,19440
0,0,19480
0,0,19520
0,0,19560
0,0,19600
0,0,19640
0,0,19680
0,0,19720
0,0,19760
0,0,19800
0,0,19840
0,0,19880
0,0,19920
0,0,19960
0,0,20000
0,0,20040
0,0,20080
0,0,20120
0,0,20160
0,0,20200
0,0,20240
0,0,20280
0,0,20320
0,0,20360
0,0,20400
0,0,20440
0,0,20480
0,0,20520
0,0,20560
0,0,20600
0,0,20640
0,0,20680
0,0,20720
0,0,20760
0,0,20800
0,0,20840
0,0,20880
0,0,20920
0,0,20960
21000,1,21000
21040,1,21040
21080,1,21080
21120,1,21120
21160,1,21160
21200,1,21200
21240,1,21240
21280,1,21280
21320,1,21320
21360,1,21360
21400,1,21400
21440,1,21440
21480,1,21480
21520,1,21520
21560,1,21560
21600,1,21600
21640,1,21640
21680,1,21680
21720,1,21720
21760,1,21760
21800,1,21800
21840,1,21840
21880,1,21880
21920,1,21920
21960,1,21960
22000,1,22000
22040,1,22040
0,0,22080
0,0,22120
0,0,22160
0,0,22200
0,0,22240
0,0,22280
0,0,22320
0,0,22360
0,0,22400
0,0,22440
0,0,22480
0,0,22520
0,0,22560
0,0,22600
0,0,22640
0,0,22680
0,0,22720
0,0,22760
0,0,22800
0,0,22840
0,0,22880
0,0,22920
0,0,22960
0,0,23000
0,0,23040
0,0,23080
0,0,23120
0,0,23160
0,0,23200
0,0,23240
0,0,23280
0,0,23320
0,0,23360
0,0,23400
0,0,23440
0,0,23480
0,0,23520
0,0,23560
0,0,23600
0,0,23640
0,0,23680
0,0,23720
0,0,23760
0,0,23800
0,0,23840
0,0,23880
0,0,23920
0,0,23960
24000,1,24000
24040,1,24040
24080,1,24080
24120,1,24120
24160,1,24160
24200,1,24200
24240,1,24240
24280,1,24280
24320,1,24320
24360,1,24360
24400,1,24400
24440,1,24440
24480,1,24480
24520,1,24520
24560,1,24560
24600,1,24600
24640,1,24640
24680,1,24680
24720,1,24720
24760,1,24760
24800,1,24800
24840,1,24840
24880,1,24880
24920,1,24920
24960,1,24960
25000,1,25000
25040,1,25040
25080,1,25080
25120,1,25120
25160,1,25160
25200,1,25200
25240,1,25240
25280,1,25280
25320,1,25320
25360,1,25360
25400,1,25400
25440,1,25440
25480,1,25480
25520,1,25520
25560,1,25560
25600,1,25600
25640,1,25640
25680,1,25680
25720,1,25720
25760,1,25760
25800,1,25800
25840,1,25840
25880,1,25880
25920,1,25920
25960,1,25960
26000,1,26000
26040,1,26040
0,0,26080
0,0,26120
0,0,26160
0,0,26200
0,0,26240
0,0,26280
0,0,26320
0,0,26360
0,0,26400
0,0,26440
0,0,26480
0,0,26520
0,0,26560
0,0,26600
0,0,26640
0,0,26680
0,0,26720
0,0,26760
0,0,26800
0,0,26840
0,0,26880
0,0,26920
0,0,26960
0,0,27000
0,0,27040
0,0,27080
0,0,27120
0,0,27160
0,0,27200
0,0,27240
0,0,27280
0,0,27320
0,0,27360
0,0,27400
0,0,27440
0,0,27480
0,0,27520
0,0,27560
0,0,27600
0,0,27640
0,0,27680
0,0,27720
0,0,27760
0,0,27800
0,0,27840
0,0,27880
0,0,27920
0,0,27960
0,0,28000
0,0,28040
0,0,28080
0,0,28120
0,0,28160
0,0,28200
0,0,28240
0,0,28280
0,0,28320
0,0,28360
0,0,28400
0,0,28440
0,0,28480
0,0,28520
0,0,28560
0,0,28600
0,0,28640
0,0,28680
0,0,28720
0,0,28760
0,0,28800
0,0,28840
0,0,28880
0,0,28920
0,0,28960
0,0,29000
0,0,29040
0,0,29080
0,0,29120
0,0,29160
0,0,29200
0,0,29240
0,0,29280
0,0,29320
0,0,29360
0,0,29400
0,0,29440
0,0,29480
0,0,29520
0,0,29560
0,0,29600
0,0,29640
0,0,29680
0,0,29720
0,0,29760
0,0,29800
0,0,29840
0,0,29880
0,0,29920
0,0,29960
